timestamp,cpu_percent,mem_used_mb,mem_total_mb,mem_percent,load_1m
2026-05-26T18:59:48+00:00,11.8,280,957,29.28,0.00
2026-05-26T18:59:50+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:51+00:00,12.5,280,957,29.27,0.00
2026-05-26T18:59:52+00:00,6.2,280,957,29.27,0.00
2026-05-26T18:59:53+00:00,6.7,280,957,29.27,0.00
2026-05-26T18:59:54+00:00,11.8,280,957,29.27,0.00
2026-05-26T18:59:56+00:00,94.1,280,957,29.27,0.00
2026-05-26T18:59:57+00:00,12.5,280,957,29.27,0.00
2026-05-26T18:59:58+00:00,35.3,280,957,29.27,0.00
2026-05-26T19:00:00+00:00,7.1,280,957,29.27,0.00
2026-05-26T19:00:01+00:00,7.1,280,957,29.29,0.00
2026-05-26T19:00:02+00:00,18.8,280,957,29.29,0.00
2026-05-26T19:00:03+00:00,12.5,280,957,29.29,0.00
2026-05-26T19:00:04+00:00,100,280,957,29.29,0.00
2026-05-26T19:00:06+00:00,35.3,280,957,29.29,0.00
2026-05-26T19:00:07+00:00,12.5,280,957,29.29,0.00
2026-05-26T19:00:08+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:10+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:11+00:00,100,280,957,29.29,0.00
2026-05-26T19:00:12+00:00,6.2,280,957,29.29,0.00
2026-05-26T19:00:13+00:00,12.5,280,957,29.29,0.00
2026-05-26T19:00:14+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:16+00:00,61.1,280,957,29.29,0.00
2026-05-26T19:00:17+00:00,6.2,280,957,29.29,0.00
2026-05-26T19:00:18+00:00,100,280,957,29.29,0.00
2026-05-26T19:00:19+00:00,29.4,280,957,29.29,0.00
2026-05-26T19:00:21+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:22+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:23+00:00,12.5,280,957,29.29,0.00
2026-05-26T19:00:24+00:00,6.2,280,957,29.29,0.00
2026-05-26T19:00:26+00:00,17.6,280,957,29.29,0.00
2026-05-26T19:00:27+00:00,6.2,280,957,29.29,0.00
2026-05-26T19:00:28+00:00,6.2,280,957,29.29,0.00
2026-05-26T19:00:29+00:00,6.7,280,957,29.29,0.00
2026-05-26T19:00:30+00:00,12.5,280,957,29.29,0.00
2026-05-26T19:00:32+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:33+00:00,17.6,280,957,29.29,0.00
2026-05-26T19:00:34+00:00,14.3,280,957,29.29,0.00
2026-05-26T19:00:35+00:00,6.2,280,957,29.29,0.00
2026-05-26T19:00:37+00:00,6.2,280,957,29.29,0.00
2026-05-26T19:00:38+00:00,6.7,280,957,29.29,0.00
2026-05-26T19:00:39+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:40+00:00,100,280,957,29.29,0.00
2026-05-26T19:00:42+00:00,6.2,280,957,29.29,0.00
2026-05-26T19:00:43+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:44+00:00,16.7,280,957,29.29,0.00
2026-05-26T19:00:45+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:47+00:00,17.6,280,957,29.29,0.00
2026-05-26T19:00:48+00:00,6.7,280,957,29.29,0.00
2026-05-26T19:00:49+00:00,6.2,280,957,29.29,0.00
2026-05-26T19:00:50+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:52+00:00,11.8,280,957,29.29,0.00
2026-05-26T19:00:53+00:00,6.2,280,957,29.29,0.00
2026-05-26T19:00:54+00:00,6.7,280,957,29.28,0.00
2026-05-26T19:00:55+00:00,6.2,280,957,29.29,0.08
2026-05-26T19:00:57+00:00,11.8,280,957,29.28,0.08
2026-05-26T19:00:58+00:00,11.8,280,957,29.28,0.08
2026-05-26T19:00:59+00:00,6.2,280,957,29.28,0.08
2026-05-26T19:01:00+00:00,38.9,280,957,29.28,0.07
2026-05-26T19:01:02+00:00,18.8,280,957,29.28,0.07
2026-05-26T19:01:03+00:00,11.8,280,957,29.28,0.07
2026-05-26T19:01:04+00:00,17.6,280,957,29.28,0.07
2026-05-26T19:01:05+00:00,17.6,280,957,29.28,0.07
2026-05-26T19:01:07+00:00,11.8,280,957,29.28,0.07
2026-05-26T19:01:08+00:00,6.2,280,957,29.28,0.07
2026-05-26T19:01:09+00:00,100,280,957,29.28,0.07
2026-05-26T19:01:10+00:00,11.8,280,957,29.28,0.06
2026-05-26T19:01:11+00:00,11.8,280,957,29.28,0.06
2026-05-26T19:01:13+00:00,11.8,280,957,29.28,0.06
2026-05-26T19:01:14+00:00,6.2,280,957,29.28,0.06
2026-05-26T19:01:15+00:00,12.5,280,957,29.28,0.06
2026-05-26T19:01:16+00:00,6.2,280,957,29.28,0.06
2026-05-26T19:01:18+00:00,29.4,280,957,29.28,0.06
2026-05-26T19:01:19+00:00,11.8,280,957,29.28,0.06
2026-05-26T19:01:20+00:00,11.8,280,957,29.28,0.05
2026-05-26T19:01:21+00:00,100,280,957,29.28,0.05
2026-05-26T19:01:23+00:00,100,280,957,29.28,0.05
2026-05-26T19:01:24+00:00,11.8,280,957,29.28,0.05
2026-05-26T19:01:25+00:00,11.8,280,957,29.28,0.05
2026-05-26T19:01:26+00:00,11.8,280,957,29.28,0.05
2026-05-26T19:01:28+00:00,100,280,957,29.28,0.05
2026-05-26T19:01:29+00:00,100,280,957,29.28,0.05
2026-05-26T19:01:30+00:00,6.2,280,957,29.28,0.20
2026-05-26T19:01:31+00:00,29.4,280,957,29.28,0.20
2026-05-26T19:01:32+00:00,6.2,280,957,29.28,0.20
2026-05-26T19:01:34+00:00,6.2,280,957,29.28,0.20
2026-05-26T19:01:35+00:00,6.2,280,957,29.28,0.19
2026-05-26T19:01:36+00:00,11.8,280,957,29.28,0.19
2026-05-26T19:01:37+00:00,6.2,280,957,29.28,0.19
2026-05-26T19:01:39+00:00,6.7,280,957,29.28,0.19
2026-05-26T19:01:40+00:00,6.2,280,957,29.27,0.17
2026-05-26T19:01:41+00:00,100,280,957,29.27,0.17
2026-05-26T19:01:42+00:00,6.2,280,957,29.27,0.17
2026-05-26T19:01:44+00:00,29.4,280,957,29.27,0.17
2026-05-26T19:01:45+00:00,12.5,280,957,29.27,0.16
2026-05-26T19:01:46+00:00,6.2,280,957,29.27,0.16
2026-05-26T19:01:47+00:00,100,280,957,29.27,0.16
2026-05-26T19:01:49+00:00,100,280,957,29.27,0.16
2026-05-26T19:01:50+00:00,6.7,280,957,29.27,0.16
2026-05-26T19:01:51+00:00,6.2,280,957,29.27,0.14
2026-05-26T19:01:52+00:00,11.8,280,957,29.27,0.14
2026-05-26T19:01:53+00:00,6.2,280,957,29.27,0.14
2026-05-26T19:01:55+00:00,12.5,280,957,29.27,0.14
2026-05-26T19:01:56+00:00,12.5,280,957,29.27,0.13
2026-05-26T19:01:57+00:00,16.7,280,957,29.27,0.13
2026-05-26T19:01:58+00:00,20,280,957,29.27,0.13
2026-05-26T19:02:00+00:00,100,280,957,29.27,0.13
2026-05-26T19:02:01+00:00,11.8,280,957,29.27,0.12
2026-05-26T19:02:02+00:00,6.2,280,957,29.27,0.12
2026-05-26T19:02:03+00:00,17.6,280,957,29.27,0.12
2026-05-26T19:02:05+00:00,11.8,280,957,29.27,0.12
2026-05-26T19:02:06+00:00,41.2,280,957,29.27,0.11
2026-05-26T19:02:07+00:00,6.2,280,957,29.27,0.11
2026-05-26T19:02:08+00:00,6.2,280,957,29.27,0.11
2026-05-26T19:02:10+00:00,6.2,280,957,29.27,0.11
2026-05-26T19:02:11+00:00,11.8,280,957,29.27,0.10
2026-05-26T19:02:12+00:00,12.5,280,957,29.27,0.10
2026-05-26T19:02:13+00:00,18.8,280,957,29.27,0.10
2026-05-26T19:02:15+00:00,12.5,280,957,29.27,0.10
2026-05-26T19:02:16+00:00,62.5,280,957,29.26,0.09
2026-05-26T19:02:17+00:00,26.3,280,957,29.26,0.09
2026-05-26T19:02:18+00:00,11.8,280,957,29.26,0.09
2026-05-26T19:02:19+00:00,6.2,280,957,29.26,0.09
2026-05-26T19:02:21+00:00,100,280,957,29.26,0.09
2026-05-26T19:02:22+00:00,6.7,280,957,29.26,0.09
2026-05-26T19:02:23+00:00,11.8,280,957,29.26,0.09
2026-05-26T19:02:24+00:00,17.6,280,957,29.26,0.09
2026-05-26T19:02:26+00:00,53.3,280,957,29.26,0.08
2026-05-26T19:02:27+00:00,6.2,280,957,29.26,0.08
2026-05-26T19:02:28+00:00,100,280,957,29.26,0.08
2026-05-26T19:02:29+00:00,13.3,280,957,29.26,0.08
2026-05-26T19:02:31+00:00,11.8,280,957,29.26,0.07
2026-05-26T19:02:32+00:00,11.8,280,957,29.26,0.07
2026-05-26T19:02:33+00:00,6.2,280,957,29.26,0.07
2026-05-26T19:02:34+00:00,6.7,280,957,29.26,0.07
2026-05-26T19:02:36+00:00,25,280,957,29.26,0.07
2026-05-26T19:02:37+00:00,6.7,280,957,29.26,0.07
2026-05-26T19:02:38+00:00,11.8,280,957,29.26,0.07
2026-05-26T19:02:39+00:00,6.2,280,957,29.26,0.07
2026-05-26T19:02:41+00:00,6.2,280,957,29.26,0.06
2026-05-26T19:02:42+00:00,11.8,280,957,29.26,0.06
2026-05-26T19:02:43+00:00,11.8,280,957,29.26,0.06
2026-05-26T19:02:44+00:00,6.2,280,957,29.26,0.06
2026-05-26T19:02:46+00:00,41.2,280,957,29.26,0.06
2026-05-26T19:02:47+00:00,6.7,280,957,29.26,0.06
2026-05-26T19:02:48+00:00,6.2,280,957,29.26,0.06
2026-05-26T19:02:49+00:00,17.6,280,957,29.26,0.06
2026-05-26T19:02:51+00:00,21.1,280,957,29.26,0.05
2026-05-26T19:02:52+00:00,11.8,280,957,29.26,0.05
2026-05-26T19:02:53+00:00,12.5,280,957,29.26,0.05
2026-05-26T19:02:54+00:00,100,280,957,29.26,0.05
2026-05-26T19:02:56+00:00,23.5,280,957,29.26,0.05
2026-05-26T19:02:57+00:00,6.2,280,957,29.25,0.05
2026-05-26T19:02:58+00:00,6.2,280,957,29.25,0.05
2026-05-26T19:02:59+00:00,6.2,280,957,29.25,0.05
2026-05-26T19:03:01+00:00,6.2,280,957,29.25,0.04
2026-05-26T19:03:02+00:00,6.2,280,957,29.25,0.04
2026-05-26T19:03:03+00:00,6.7,280,957,29.25,0.04
2026-05-26T19:03:04+00:00,25,280,957,29.25,0.04
2026-05-26T19:03:06+00:00,13.3,280,957,29.25,0.04
2026-05-26T19:03:07+00:00,11.8,280,957,29.25,0.04
2026-05-26T19:03:08+00:00,6.2,280,957,29.25,0.04
2026-05-26T19:03:09+00:00,6.2,280,957,29.25,0.04
2026-05-26T19:03:11+00:00,6.2,280,957,29.25,0.04
2026-05-26T19:03:12+00:00,11.8,280,957,29.25,0.04
2026-05-26T19:03:13+00:00,11.8,280,957,29.25,0.04
2026-05-26T19:03:14+00:00,6.2,280,957,29.25,0.04
2026-05-26T19:03:15+00:00,6.2,280,957,29.25,0.03
2026-05-26T19:03:17+00:00,6.2,280,957,29.25,0.03
2026-05-26T19:03:18+00:00,11.8,280,957,29.25,0.03
2026-05-26T19:03:19+00:00,25,280,957,29.25,0.03
2026-05-26T19:03:20+00:00,27.8,280,957,29.25,0.03
2026-05-26T19:03:22+00:00,13.3,280,957,29.25,0.03
2026-05-26T19:03:23+00:00,6.2,280,957,29.25,0.03
2026-05-26T19:03:24+00:00,16.7,280,957,29.25,0.03
2026-05-26T19:03:25+00:00,6.2,280,957,29.25,0.03
2026-05-26T19:03:27+00:00,6.2,280,957,29.25,0.03
2026-05-26T19:03:28+00:00,6.2,280,957,29.25,0.03
2026-05-26T19:03:29+00:00,6.2,280,957,29.25,0.03
2026-05-26T19:03:30+00:00,11.8,280,957,29.25,0.11
2026-05-26T19:03:32+00:00,11.8,280,957,29.25,0.11
2026-05-26T19:03:33+00:00,13.3,280,957,29.25,0.11
2026-05-26T19:03:34+00:00,12.5,280,957,29.25,0.11
2026-05-26T19:03:35+00:00,11.8,280,957,29.25,0.10
2026-05-26T19:03:37+00:00,11.8,280,957,29.25,0.10
2026-05-26T19:03:38+00:00,11.8,280,957,29.25,0.10
2026-05-26T19:03:39+00:00,6.2,280,957,29.25,0.10
2026-05-26T19:03:40+00:00,6.2,280,957,29.25,0.09
2026-05-26T19:03:41+00:00,6.2,280,957,29.25,0.09
2026-05-26T19:03:43+00:00,6.2,280,957,29.25,0.09
2026-05-26T19:03:44+00:00,12.5,279,957,29.24,0.09
2026-05-26T19:03:45+00:00,29.4,279,957,29.24,0.08
2026-05-26T19:03:47+00:00,12.5,279,957,29.24,0.08
2026-05-26T19:03:48+00:00,23.5,279,957,29.24,0.08
2026-05-26T19:03:49+00:00,22.2,279,957,29.24,0.08
2026-05-26T19:03:50+00:00,11.8,279,957,29.24,0.07
2026-05-26T19:03:51+00:00,11.8,279,957,29.24,0.07
2026-05-26T19:03:53+00:00,6.2,279,957,29.24,0.07
2026-05-26T19:03:54+00:00,6.2,279,957,29.24,0.07
2026-05-26T19:03:55+00:00,18.8,279,957,29.24,0.07
2026-05-26T19:03:56+00:00,17.6,279,957,29.24,0.07
2026-05-26T19:03:58+00:00,17.6,279,957,29.24,0.07
2026-05-26T19:03:59+00:00,29.4,279,957,29.24,0.07
2026-05-26T19:04:00+00:00,12.5,279,957,29.24,0.06
2026-05-26T19:04:01+00:00,13.3,279,957,29.24,0.06
2026-05-26T19:04:03+00:00,11.8,279,957,29.24,0.06
2026-05-26T19:04:04+00:00,12.5,279,957,29.24,0.06
2026-05-26T19:04:05+00:00,6.7,279,957,29.24,0.06
2026-05-26T19:04:06+00:00,6.2,279,957,29.24,0.06
2026-05-26T19:04:08+00:00,6.2,279,957,29.24,0.06
2026-05-26T19:04:09+00:00,6.7,279,957,29.24,0.06
2026-05-26T19:04:10+00:00,6.7,279,957,29.24,0.05
2026-05-26T19:04:11+00:00,11.8,279,957,29.24,0.05
